source_url,title,year,source,protagonist,author,confidence,method,evidence,description
https://hoerspiele.dra.de/detailansicht/1356662,Brasil,1982,DRA,Brasil,Matthias von Spallart,high,portrait title is name,Brasil,"In 1500 Brazil was taken over by the Portuguese crown. In the following centuries - the country became a republic in 1889 - the colonizers made use of its supplies: they brought enslaved Africans, Europe, Christianity and Baroque into the country, they extracted gold, diamonds and coffee."
https://hoerspiele.dra.de/detailansicht/1356564,Das unheilvolle Porträt,1981,DRA,Denis Diderot,Denis Diderot,medium,role/name phrase in description,Hans Magnus Enzenberger continues his series of radio work adaptations of world literature with a text by the great French Enlightenment philosopher Denis Diderot (1713-1784).,"Hans Magnus Enzenberger continues his series of radio work adaptations of world literature with a text by the great French Enlightenment philosopher Denis Diderot (1713-1784). ""The small piece is based on a fragmentary text by Diderot that was only found and published in 1953."
https://hoerspiele.dra.de/detailansicht/1356916,Die verlorenen Spuren (2. Teil),1982,DRA,Lost Traces,Alejo Carpentier,medium,first named figure in description,"A radio work based on The Lost Traces (novel, Spanish).","A radio work based on The Lost Traces (novel, Spanish)."
https://hoerspiele.dra.de/detailansicht/1356785,Marienbader Briefe,1982,DRA,Johann Wolfgang v. Goethe,Rolf Schneider,medium,curated title override,Johann Wolfgang v.,"Johann Wolfgang v. died on March 22, 1832. Goethe. Eight years before his death, during his summer vacation in Marienbad, Bohemia, the famous man, already 74 years old, fell in love with 19-year-old Ulrike v. Levetzow in love."
https://hoerspiele.dra.de/detailansicht/1349346,Emma Goldmann - Die gefährlichste Frau der Welt,1981,DRA,Emma Goldmann,Emma Goldmann,high,title names subject,Emma Goldmann - Die gefährlichste Frau der Welt,"It is the life story of one of the great women of the international labor movement and one of the most fascinating and humane personalities among the anarchists at the turn of the century: She fought in America for the 8-hour day, for tolerable working conditions, for birth control, for women's rights and against rearmament and war."
https://hoerspiele.dra.de/detailansicht/1356959,Tagebuch meiner Töne,1982,DRA,Pierre Henry,Pierre Henry,high,opening named biographical sentence,"Pierre Henry was the first professional composer who gave up composing in the traditional sense (writing scores) and consistently dedicated himself to ""art in the age of technical reproducibility"": in the ""musique concrète"", which he founded together with Pierre Schaeffer and of which he remains a leading representative to this day...","Pierre Henry was the first professional composer who gave up composing in the traditional sense (writing scores) and consistently dedicated himself to ""art in the age of technical reproducibility"": in the ""musique concrète"", which he founded together with Pierre Schaeffer and of which he remains a leading representative to this day..."
https://hoerspiele.dra.de/detailansicht/1357042,"""Nachwort eines Zauberers"" nach dem Hörspiel 'Cagliostro - Porträt eines Schriftstellers' von Karl Richard Tschon",1983,DRA,Cagliostro,Alexander Adrion,medium,curated title override,Epilogue.,Epilogue.
https://hoerspiele.dra.de/detailansicht/1356998,Biographie und Liebe,1983,DRA,Marion Froude,Samuel Nathaniel Behrman,high,role phrase names subject,The painter Marion Froude portrayed famous men in East and West and made the inaccessible celebrities sit with her.,The painter Marion Froude portrayed famous men in East and West and made the inaccessible celebrities sit with her. She is usually short of money.
https://hoerspiele.dra.de/detailansicht/1357148,Fortsetzung einer Flucht - Ein autobiographisches Hörspiel,1983,DRA,Werner Meyke,Werner Meyke,high,autobiographical description uses author,There are still some tape-obsessed authors who prove through their work that the possibilities of the original audio play are far from being exhausted.,There are still some tape-obsessed authors who prove through their work that the possibilities of the original audio play are far from being exhausted. This time he has created an original sound novelty: an autobiography (original form of the epic communication).
https://hoerspiele.dra.de/detailansicht/1366276,Das Kranke Dorf oder: Vier Briefe aus L.,1987,DRA,A young man,Christian Wolf,medium,generic protagonist phrase,A young man ends up in a house that is being invaded by rats.,"A young man ends up in a house that is being invaded by rats. In this story, reality and dreams, life and death, reason and madness collide."
