map_order,title,first_broadcast_date,protagonist_verified,origin_category,origin_detail,origin_evidence,source,cluster,genre,author,director,url
1,Brasil,28.01.1982,Brazil,original radio programme,Original acoustic portrait/travel documentary,DRA genre Originalhörspiel; subtitle says acoustic portrait of a South American country.,DRA,Portrait catalogue,Originalhörspiel,Matthias von Spallart,Matthias von Spallart,https://hoerspiele.dra.de/detailansicht/1356662
2,Das unheilvolle Porträt,15.12.1981,Denis Diderot,adaptation,Adapted from Diderot's French prose fragment Mystification,"Source subtitle: Vorlage: Mystification (Prosatext, französisch); Bearbeitung by Hans Magnus Enzensberger.",DRA,Portrait catalogue,Hörspielbearbeitung,Denis Diderot,Heinz Wilhelm Schwarz,https://hoerspiele.dra.de/detailansicht/1356564
3,Die verlorenen Spuren (2. Teil),01.06.1982,Alejo Carpentier / expedition to the origin of music,adaptation,Adapted from Alejo Carpentier's novel Los pasos perdidos / The Lost Steps; Spanish-language source,"Map description says based on The Lost Traces/Lost Steps (novel, Spanish); DRA title identifies an expedition diary.",DRA,Diaries and self-records,Hörspielbearbeitung,Alejo Carpentier,Heinz von Cramer,https://hoerspiele.dra.de/detailansicht/1356916
4,Marienbader Briefe,20.03.1982,Johann Wolfgang von Goethe and Ulrike von Levetzow,original radio programme,Original radio play based on the Marienbad episode and letters,Source description narrates Goethe's late love for Ulrike von Levetzow; no Vorlage or translation line.,DRA,Letters and correspondence,Hörspiel,Rolf Schneider,Rolf Schneider,https://hoerspiele.dra.de/detailansicht/1356785
5,Emma Goldmann - Die gefährlichste Frau der Welt,31.08.1981,Emma Goldman,adaptation,Adapted from Emma Goldman's autobiography Living My Life; American/English-language source,"Source subtitle: Vorlage: Living my life (Autobiographie, amerikanisch).",DRA,Autobiographical lives,Hörspielbearbeitung,Emma Goldmann,Rosa von Praunheim,https://hoerspiele.dra.de/detailansicht/1349346
6,Tagebuch meiner Töne,26.10.1982,Pierre Henry,translation,Translated from French,Source subtitle: übersetzt aus dem Französischen.,DRA,Diaries and self-records,Hörspiel,Pierre Henry,Pierre Henry,https://hoerspiele.dra.de/detailansicht/1356959
7,"""Nachwort eines Zauberers"" nach dem Hörspiel 'Cagliostro - Porträt eines Schriftstellers' von Karl Richard Tschon",12.01.1983,Cagliostro / Karl Richard Tschon's Cagliostro portrait,original radio programme,Commentary/afterword to an existing radio play,Title and description identify a Nachwort; no translation or adaptation source is listed.,DRA,Autobiographical lives,Kommentar,Alexander Adrion,,https://hoerspiele.dra.de/detailansicht/1357042
8,Biographie und Liebe,09.05.1983,Marion Froude,adaptation,Adapted from Samuel Nathaniel Behrman's play Biography and Love,Source subtitle: Vorlage: Biographie und Liebe (Theaterstück); Bearbeitung by Martha Meuffels.,DRA,Autobiographical lives,Hörspielbearbeitung,Samuel Nathaniel Behrman,Wolf Euba,https://hoerspiele.dra.de/detailansicht/1356998
9,Fortsetzung einer Flucht - Ein autobiographisches Hörspiel,25.03.1983,Werner Meyke,original radio programme,Autobiographical original sound radio play using Meyke's own tape recordings,Source description calls it an O-Ton autobiography from recordings since age 16.,DRA,Autobiographical lives,Originaltonhörspiel,Werner Meyke,Werner Meyke,https://hoerspiele.dra.de/detailansicht/1357148
10,Das Kranke Dorf oder: Vier Briefe aus L.,02.11.1987,An unnamed young man,original radio programme,Original radio play,No Vorlage/translation line; description summarizes the young man's story.,DRA,Letters and correspondence,Hörspiel,Christian Wolf,Thomas Köhler,https://hoerspiele.dra.de/detailansicht/1366276
11,Ein Leben auf der Flucht vor der Koralle,14.01.1994,Ruth Frau,original radio programme,Original fictional radio play,DRA genre Originalhörspiel; description centers Ruth Frau's memoir/interview comeback.,DRA,Autobiographical lives,Originalhörspiel,Max Goldt,Max Goldt,https://hoerspiele.dra.de/detailansicht/1369519
12,Mein Leben,24.06.1994,Johann Gottfried Seume,adaptation,Adapted from Seume's autobiographical writings,Author is Johann Gottfried Seume; description recounts his life under the title Mein Leben.,DRA,Autobiographical lives,Hörspielbearbeitung,Johann Gottfried Seume,Christoph Lindenmeyer,https://hoerspiele.dra.de/detailansicht/1369551
13,... is a dangerous number,11.03.1994,Amiri Baraka / LeRoi Jones,original radio programme,Original portrait feature using interview excerpts and autobiography material,Description identifies a portrait built from interview excerpts and an autobiographical chapter.,DRA,Portrait catalogue,Feature,Karl Bruckmaier,,https://hoerspiele.dra.de/detailansicht/1369714
14,"Vom Enden einer Liebe, einer Frau",10.11.1987,Susette Gontard,adaptation,Adapted from Susette Gontard's letters to Friedrich Hölderlin,Description: Hörspiel basiert auf Texten from 17 letters written by Susette Gontard.,DRA,Social documentary lives,Hörspielbearbeitung,"Susette Gontard , Friedrich Hölderlin",Hans Ulrich Humpert,https://hoerspiele.dra.de/detailansicht/1370391
15,"Hörspielwerkstatt - ""Wichtig ist auch die durchkomponierte Pause ...""",17.08.1988,Siegfried Franz,original radio programme,Original portrait of the radio-play composer,Source subtitle names Siegfried Franz as portrait subject; no source text or translation listed.,DRA,Portrait catalogue,Hörspiel,Henning Rademacher,Henning Rademacher,https://hoerspiele.dra.de/detailansicht/1370564
16,Das Porträt,26.12.1994,James Lord and Alberto Giacometti,translation,Translated from Swedish,Source subtitle: Übersetzt aus dem Schwedischen; description centers James Lord sitting for Giacometti.,DRA,Portrait catalogue,Hörspielbearbeitung,Anders Nyman,Jörg Jannings,https://hoerspiele.dra.de/detailansicht/1370331
17,John Cage,18.08.1988,John Cage,original radio programme,Original acoustic portrait,Source subtitle: Ein akustisches Porträt des Hörspielmachers.,DRA,Autobiographical lives,Porträt,Klaus Schöning,Klaus Schöning,https://hoerspiele.dra.de/detailansicht/1370867
18,Der Ohrenblick,25.08.1988,Luc Ferrari,original radio programme,Original documentary/acoustic portrait,Source subtitle names Luc Ferrari; description says Ferrari remembers his work with Brunhild Meyer.,DRA,Portrait catalogue,Porträt,Brunhild Meyer,Brunhild Meyer,https://hoerspiele.dra.de/detailansicht/1370870
19,Mauricio Kagel,20.08.1988,Mauricio Kagel,original radio programme,Original acoustic portrait,Source subtitle: Ein akustisches Porträt des Hörspielmachers.,DRA,Portrait catalogue,Porträt,Michael Schäfermeyer,Michael Schäfermeyer,https://hoerspiele.dra.de/detailansicht/1370868
20,Oktober-Nächte/Les nuits d'octobre,27.12.1988,Gérard de Nerval,adaptation,Bilingual adaptation/variation from Nerval's writings and life,"Description says citations from his work, fictional dialogues and associations sketch Nerval's life.",DRA,Autobiographical lives,Hörspielbearbeitung,Gerard de Nerval,Heinz von Cramer,https://hoerspiele.dra.de/detailansicht/1371042
21,"Lieber Piet, liebe Sandra",04.04.1989,"Sandra, Piet, and Truck",original radio programme,Original short radio play,No Vorlage/translation line; description summarizes a contemporary letter-based plot.,DRA,Letters and correspondence,Kurzhörspiel,Bernhard Pfletschinger,Ferdinand Ludwig,https://hoerspiele.dra.de/detailansicht/1371169
22,Von Herren und Knechten,11.04.1989,Herr Fecht and his former landlord/neighbor,original radio programme,Original short radio play,No Vorlage/translation line; description summarizes the letter dispute.,DRA,Letters and correspondence,Kurzhörspiel,Bernhard Pfletschinger,Ferdinand Ludwig,https://hoerspiele.dra.de/detailansicht/1371171
23,And what about me? Ein Porträt des Autors Raymond Federman,13.10.1989,Raymond Federman,original radio programme,"Original author portrait from self-testimony, work quotations and conversations","Description: portrait of Raymond Federman made from Selbstzeugnissen, Werkzitaten and Gesprächen.",DRA,Portrait catalogue,Porträt,Herbert Kapfer,Herbert Kapfer,https://hoerspiele.dra.de/detailansicht/1371100
24,"Amore, Amore",18.04.1989,Elsa and Renzo,original radio programme,Original short radio play,No Vorlage/translation line; description summarizes the fictional letter plot.,DRA,Letters and correspondence,Kurzhörspiel,Bernhard Pfletschinger,Ferdinand Ludwig,https://hoerspiele.dra.de/detailansicht/1371173
25,Die Courage des George Tabori,25.05.1989,George Tabori,original radio programme,Original audio portrait for Tabori's 75th birthday,Source subtitle: Ein Hör-Porträt zum 75. Geburtstag.,DRA,Portrait catalogue,Originaltonhörspiel,Dieter Mayer-Simeth,Dieter Mayer-Simeth,https://hoerspiele.dra.de/detailansicht/1371074
26,Baal Babylon,07.03.1989,Fernando Arrabal,adaptation,Adapted from Fernando Arrabal's French-language novel Baal Babylone,"Source subtitle: Vorlage: Baal Babylone (Roman, französisch); Übersetzung by Elmar Tophoven.",DRA,Autobiographical lives,Hörspielbearbeitung,Fernando Arrabal,Norbert Schaeffer,https://hoerspiele.dra.de/detailansicht/1371238
27,Mein Spaziergang nach Syrakus - Briefe an einen Freund (2. Teil: Annäherungen),14.05.1985,Jürgen Liebing in dialogue with Johann Gottfried Seume,original radio programme,Original epistolary travel radio play following Seume's route,Description says Liebing walks in Seume's traces and writes letters to him; no Vorlage/translation line.,DRA,Letters and correspondence,Hörspiel,Jürgen Liebing,Bärbel Jarchow,https://hoerspiele.dra.de/detailansicht/1371889
28,New York City,17.04.1984,New York City,original radio programme,Original radio portrait / audio city composition,Description quotes Kostelanetz's plan for an audio chamber symphony/portrait of his city.,DRA,Social documentary lives,Hörspiel,Richard Kostelanetz,Richard Kostelanetz,https://hoerspiele.dra.de/detailansicht/1371603
29,Mein Spaziergang nach Syrakus - Briefe an einen Freund (1. Teil: Entfernungen),13.05.1985,Jürgen Liebing in dialogue with Johann Gottfried Seume,original radio programme,Original epistolary travel radio play following Seume's route,Description says Liebing walks in Seume's traces and writes letters to him; no Vorlage/translation line.,DRA,Letters and correspondence,Hörspiel,Jürgen Liebing,Bärbel Jarchow,https://hoerspiele.dra.de/detailansicht/1371888
30,Franz Kafka hört noch immer Radio und telefoniert mit schönen Frauen. Porträt eines Mannes vor dem Sterben,11.07.1985,Franz Kafka,original radio programme,Original fictional portrait imagining Kafka before death,No Vorlage/translation line; description presents a fictional Kafka family scenario.,DRA,Portrait catalogue,Originalhörspiel,Elmar Podlech,Bernd Lau,https://hoerspiele.dra.de/detailansicht/1372064
31,Fred von Hoerschelmann - Zum 10. Todestag des Hörspielautors,17.06.1986,Fred von Hoerschelmann,original radio programme,Original memorial essay with excerpts and interviews,Description calls it an essay for Hoerschelmann's 10th death anniversary using play excerpts and interviews.,DRA,Portrait catalogue,Hörspiel,Dieter Hasselblatt,Dieter Hasselblatt,https://hoerspiele.dra.de/detailansicht/1372247
32,Der Rundfunkmann Ernst Schnabel,25.07.1986,Ernst Schnabel,original radio programme,Original portrait of the broadcaster/writer,Description identifies Schnabel as subject; no source text or translation listed.,DRA,Portrait catalogue,Kurzhörspiel,Karl Karst,Karl Karst,https://hoerspiele.dra.de/detailansicht/1372252
33,Ein Schmuck für Momente - Helmut Käutner und das Hörspiel,19.12.1986,Helmut Käutner,original radio programme,Original portrait about Käutner and radio drama,Title/description identify Käutner's radio-play work; no Vorlage/translation line.,DRA,Portrait catalogue,Hörspiel,Wolfram Wessels,Wolfram Wessels,https://hoerspiele.dra.de/detailansicht/1372270
34,Die Straße nach Lushoto. Tanzania - Notizen aus meinem Tagebuch,24.01.1976,Gisela Albrecht / the Lushoto development project,original radio programme,Original subjective diary/documentary from Tanzania,Title says diary notes; description calls it a subjective attempt with conversations and observations.,DRA,Diaries and self-records,Hörspiel,Gisela Albrecht,Robert Matejka,https://hoerspiele.dra.de/detailansicht/1372504
35,Lady sings the Blues. Billie Holiday erinnert sich,27.12.1991,Billie Holiday,adaptation,Adapted from Billie Holiday's autobiography Lady Sings the Blues; American/English-language source,"Source subtitle: Vorlage: Lady sings the Blues (Autobiographie, amerikanisch); translation and adaptation listed.",DRA,Autobiographical lives,Hörspielbearbeitung,"Billie Holiday , Billie Holiday",Stefan Hardt,https://hoerspiele.dra.de/detailansicht/1372907
36,Anonyme Briefe,31.03.1950,Students at an acting school,adaptation,Radio adaptation of the film Anonyme Briefe,Description says Arthur Maria Rabenalt made a 1945 film with the same title and theme; subtitle lists Bearbeitung.,DRA,Letters and correspondence,Originalhörspiel,Annemarie Artinger,Heinz-Günter Stamm,https://hoerspiele.dra.de/detailansicht/1372532
37,Briefe an Olga,08.10.1991,Václav Havel,adaptation,Adapted from Václav Havel's prison letters to Olga,Source subtitle: Nach Texten von Václav Havel; description identifies Briefe an Olga from prison.,DRA,Sound art and listening,"Hörspielbearbeitung, Ars acustica",Václav Havel,Petr Kotík,https://hoerspiele.dra.de/detailansicht/1373260
